puma,boro,nabes,displacementriskindex,populationvulnerability,housingconditions,marketpressure,percentnotwhite,percentbelow2xpovertyrate,percentbelow2xpovertyrate_moe,limitedenglishproficiency,limitedenglishproficiency_moe,percentrentburdened,percentrentburdened_moe,percentunitswith3plusmaintenancedeficiencies,percentunitswith3plusmaintenancedeficiencies_moe,percentunitswithnoincomerestrictions,hny_nycha,totunts_20,percentrenters,percentrenters_moe,percentunitswithrentregulations,percentunitswithrentregulations_moe,changeinrents_moe,salespriceappreciation,changeinpopulationwithbachelorsdegrees,changeinpopulationwithbachelorsdegrees_moe,NU_lots,NU_airRightTrans,NU_mergedLots,NU_uniqueOwners,NU_landmark,NU_HistDist,NU_rentSt_12,NU_permits_12,NU_permits_22,UnitsRes_12,UnitsRes_22,NU_pass_screen,NU_softsites_12,NU_res_lots_12,NU_unitResInc,NU_unitResDec,NU_rec_dev,NU_rec_dev_2,NU_rec_dev_is_soft_site,NU_rec_dev_not_soft_site,NU_rec_dev_is_rent_st,NU_rec_dev_not_rent_st,PERC_unitResInc,PERC_unitResDec,PERC_landmark,PERC_HistDist,PERC_rentSt_12,PERC_rec_dev,PERC_rec_dev_2,PERC_assesedRatioInc,PERC_recentAlter,PERC_screen_passed,fail_initial_screen,PERC_screen_failed,PERC_softsites,PERC_rec_dev_not_soft_site,long,lat
03903,Staten Island,"Port Richmond, Stapleton & Mariner's Harbor",30,39,44,4,67,32,3,12,2,33,7,7,3,93,873,10334,45,4,26,12,169,2,24,19,39063,1,533,34528,57,192,272,517,235,63894,64791,5953,5532,34349,830,250,908,1061,328,580,3,905,2,1,0,0,1,2,3,89,1,15,33110,85,14,64,-74.11325184874144,40.62867464193484
04001,Brooklyn,Greenpoint & Williamsburg,39,40,49,77,37,39,2,20,2,26,3,9,4,87,2520,21245,84,2,42,8,160,4,62,20,13515,227,769,10922,19,397,2348,1051,510,65129,75759,975,797,10520,737,309,1042,1080,197,845,27,1015,5,2,0,3,22,8,8,86,6,7,12540,93,6,81,-73.94809027481331,40.718706990505765
04002,Brooklyn,Bushwick,75,65,72,100,77,47,2,23,2,32,2,15,5,89,3407,27754,86,1,29,9,92,5,156,30,12452,110,475,10502,12,0,2311,375,220,44342,50864,470,354,10208,691,187,714,742,77,637,11,703,6,2,0,0,23,6,6,87,9,4,11982,96,3,89,-73.92063637044498,40.69695170669022
04003,Brooklyn,Bedford-Stuyvesant,46,42,65,89,70,46,2,10,1,28,2,23,6,83,5167,30709,78,2,38,10,95,5,117,21,14065,136,583,12089,8,173,1389,510,331,55090,58606,349,244,12231,723,304,812,825,74,738,16,796,5,2,0,1,11,6,6,86,10,2,13716,98,2,91,-73.94106808147177,40.68986971448976
04004,Brooklyn,Brooklyn Heights & Fort Greene,20,20,59,75,52,26,2,7,1,19,3,8,4,85,3170,19698,68,2,24,6,248,4,48,12,9947,328,589,8305,56,3615,1351,906,394,62940,70110,555,365,7907,396,419,694,727,125,569,29,665,4,4,1,36,17,7,7,86,6,6,9392,94,4,82,-73.97728298466548,40.693270702055656
04005,Brooklyn,"Park Slope, Carroll Gardens & Red Hook",7,8,51,59,37,18,1,5,1,17,2,6,3,88,2510,29192,61,2,24,9,160,4,13,6,14878,191,542,12892,17,2937,1667,754,302,53500,53953,534,376,12710,277,488,632,657,52,580,38,594,2,3,0,20,13,4,4,90,4,4,14344,96,3,92,-74.00198252503161,40.67161283073874
04006,Brooklyn,Crown Heights North & Prospect Heights,33,32,65,68,73,39,2,7,1,27,2,27,6,88,5963,43811,81,1,47,8,79,4,99,16,10993,177,424,9464,14,2256,1859,472,193,55745,59656,354,202,9411,434,224,526,545,39,487,24,502,4,2,0,21,20,5,5,87,7,3,10639,97,2,93,-73.94399639443765,40.67499318575519
04007,Brooklyn,Brownsville & Ocean Hill,64,72,63,34,97,57,2,8,1,38,3,30,7,66,6837,18410,82,2,41,9,101,3,52,31,12313,86,396,10173,3,0,822,230,198,46994,48995,539,383,9981,294,125,463,502,62,401,11,452,2,1,0,0,8,4,4,73,2,4,11774,96,3,87,-73.90719653936492,40.6682080083183
04008,Brooklyn,East New York & Starrett City,72,81,78,10,97,48,2,14,1,35,3,18,5,72,7837,28291,74,2,12,6,94,3,28,20,17450,178,323,15178,2,0,422,384,165,50631,54192,766,568,14824,402,160,369,423,69,300,4,365,2,1,0,0,3,2,2,86,1,4,16684,96,3,81,-73.87697338373104,40.663519147091904
04009,Brooklyn,Canarsie & Flatlands,24,31,45,4,79,24,1,11,1,26,3,10,3,94,1801,25459,42,2,12,6,97,2,14,9,35626,295,218,33955,4,0,102,347,88,65453,65508,847,645,33540,146,114,203,273,23,180,1,202,0,0,0,0,0,1,1,97,1,2,34779,98,2,89,-73.89029637502712,40.61099008237728
04010,Brooklyn,"East Flatbush, Farragut & Rugby",55,60,60,38,97,33,2,8,1,32,3,16,4,98,398,18983,65,2,52,10,60,3,38,19,17264,143,111,16400,4,0,717,107,205,48255,50262,391,307,16040,244,116,184,194,45,139,2,182,1,1,0,0,4,1,1,93,3,2,16873,98,2,76,-73.93430245034565,40.647676288156234
04011,Brooklyn,"Crown Heights South, Prospect Lefferts & Wingate",65,57,74,94,75,39,2,9,1,30,3,20,6,96,1122,24980,84,2,77,7,50,4,76,20,7192,69,154,6657,0,872,802,190,133,41231,43951,298,194,6580,225,98,210,227,52,158,10,200,3,1,0,12,12,3,3,92,6,4,6894,96,3,75,-73.94788827909962,40.661359503449134
04012,Brooklyn,Sunset Park & Windsor Terrace,74,83,49,40,78,49,2,45,2,30,3,6,4,98,305,19656,72,2,41,9,92,5,21,13,14244,124,291,12945,5,0,1414,566,271,45279,46246,503,357,12409,495,259,328,367,45,283,9,319,3,2,0,0,11,2,3,92,5,4,13741,96,3,86,-74.01069011056221,40.65186797889538
04013,Brooklyn,Bay Ridge & Dyker Heights,37,49,40,8,48,31,2,25,1,29,3,5,2,100,3,30527,58,2,55,9,65,3,19,9,16798,130,116,15713,3,0,977,264,64,52222,52280,292,217,16057,192,177,138,164,20,118,7,131,1,1,0,0,6,1,1,96,5,2,16506,98,1,86,-74.03261302418326,40.625900815224284
04014,Brooklyn,"Borough Park, Kensington & Ocean Parkway",61,70,42,41,36,54,2,26,2,44,3,7,3,100,31,25090,66,2,47,8,80,4,-2,11,17084,111,441,15366,0,0,697,813,250,51341,50996,437,334,15421,305,402,580,611,54,526,6,574,2,2,0,0,5,3,4,93,4,3,16647,97,2,91,-73.98268235210507,40.629930975855295
04015,Brooklyn,Flatbush & Midwood,74,75,49,70,62,39,2,21,1,33,2,10,4,98,784,33988,76,1,72,7,47,3,30,10,12029,82,244,11275,4,665,986,351,182,58904,61116,372,254,11091,191,178,294,323,38,256,5,289,2,1,0,6,9,2,3,92,5,3,11657,97,2,87,-73.95913838401295,40.63040063233627
04016,Brooklyn,"Sheepshead Bay, Gerritsen Beach & Homecrest",45,52,34,44,37,32,2,34,2,30,3,4,2,95,1407,22007,54,2,48,6,81,3,12,10,21556,170,421,19802,3,0,442,709,233,59372,59325,521,437,19593,182,362,575,637,60,515,14,561,1,2,0,0,2,3,3,94,3,2,21035,98,2,90,-73.9474889937732,40.59300624405023
04017,Brooklyn,Bensonhurst & Bath Beach,76,78,43,74,64,40,2,45,2,33,3,5,2,99,189,27143,64,2,45,9,56,4,64,15,21786,183,191,20456,6,0,907,396,121,65899,65948,463,389,20657,235,144,245,279,64,181,2,243,1,1,0,0,4,1,1,97,2,2,21323,98,2,74,-73.99493784381403,40.6056930749098
