BBL,LotArea_12,availFAR_perc_12
2031110076,9872,88.1
2031490001,7860,100
2028470041,14978,55.1
2042420020,5000,63.6
2043140012,9375,66.7
2040900017,5777,100
2027750148,10000,98
2025220020,12950,72.1
2026030055,28150,75
2023220101,7500,90.9
2025660006,10000,58.8
2024740032,9200,87
2042640009,7440,56.7
2042430024,5000,75.5
2028780039,5288,79.4
2027620080,5000,74.1
2025150003,6210,85.5
2026890001,6710,100
2025420041,35110,100
2027710237,5000,50
2032210001,6019,72
2024620042,25811,76.2
2031850001,12988,92.5
2027220035,16100,82
2027680343,10332,71
2041740013,5000,82.6
2036490027,18106,83.5
2030270016,11963,72.6
2040640021,6250,76.7
2042190035,9750,67
2030500061,5489,57
2027740170,20650,88
2030610119,7609,71.2
2030370015,20500,72.3
2024790024,11026,68.3
2026060230,70867,55.5
2028070065,6200,100
2025840024,59500,98.5
2025220107,5000,100
2022930046,20226,66
2023540065,35163,NA
2041330063,11646,90
2037700083,6903,88.5
2030550056,7979,77.2
2038050123,29911,100
2024660017,5472,88.7
2032010015,5995,75.3
2029580118,6690,78.2
2037470088,16886,93.8
2037360075,7400,100
2025970070,93939,100
2037620001,5000,56.8
2022600034,8700,89.9
2035600056,5000,63.2
2027650113,5000,50
2031920055,5071,100
2037420048,5500,83.5
2040930016,5000,63.3
2027720234,5000,50
2032020057,7576,75.7
2025110090,12500,100
2026900034,32929,100
2023410037,5050,96.2
2028590051,14000,60.5
2027260064,5000,100
2023400020,5174,61
2040160014,6200,70.4
2032340028,12348,100
2027680179,20000,50
2027630360,30000,52
2022770094,11000,87
2040220026,26780,100
2027200009,10000,NA
2027620020,7500,66.7
2024330036,9742,100
2032190214,5566,70.4
2029330025,5800,84
2024560166,10000,83.4
2032190134,5413,82.3
2025640040,10000,100
2037570060,5000,100
2038480018,113400,98.8
2042260419,16525,86
2029830001,10000,84.9
2026850052,5375,100
2032320060,18609,100
2032380052,30120,100
2039580130,7152,57.2
2024370001,7500,70.9
2037980034,5150,67.2
2037330009,11000,100
2042720047,5000,52.2
2032170048,5000,60.8
2027720064,5000,100
2029510057,6998,75
2027750178,10000,75
2026430050,6825,100
2042740045,22848,83
2029600061,12500,71
2025750031,6915,100
